Date;Filière;Valeur (GW)
03/10/2019;Enveloppe basse 2014 - 2019;47,74421723
04/10/2019;Enveloppe basse 2014 - 2019;48,13830138
05/10/2019;Enveloppe basse 2014 - 2019;48,73813883
06/10/2019;Enveloppe basse 2014 - 2019;48,08452025
07/10/2019;Enveloppe basse 2014 - 2019;42,34275746
08/10/2019;Enveloppe basse 2014 - 2019;40,19056946
09/10/2019;Enveloppe basse 2014 - 2019;48,6676845
10/10/2019;Enveloppe basse 2014 - 2019;49,44738181
11/10/2019;Enveloppe basse 2014 - 2019;49,14973054
12/10/2019;Enveloppe basse 2014 - 2019;48,65123158
13/10/2019;Enveloppe basse 2014 - 2019;47,97192433
14/10/2019;Enveloppe basse 2014 - 2019;42,241012
15/10/2019;Enveloppe basse 2014 - 2019;39,97179302
16/10/2019;Enveloppe basse 2014 - 2019;47,03465985
17/10/2019;Enveloppe basse 2014 - 2019;48,29394829
18/10/2019;Enveloppe basse 2014 - 2019;48,7477831
19/10/2019;Enveloppe basse 2014 - 2019;48,7495626
20/10/2019;Enveloppe basse 2014 - 2019;48,59590265
21/10/2019;Enveloppe basse 2014 - 2019;43,51343663
22/10/2019;Enveloppe basse 2014 - 2019;40,13208717
23/10/2019;Enveloppe basse 2014 - 2019;48,11575388
24/10/2019;Enveloppe basse 2014 - 2019;50,67692521
25/10/2019;Enveloppe basse 2014 - 2019;51,54978917
26/10/2019;Enveloppe basse 2014 - 2019;51,79181379
27/10/2019;Enveloppe basse 2014 - 2019;51,14866933
28/10/2019;Enveloppe basse 2014 - 2019;45,43515058
29/10/2019;Enveloppe basse 2014 - 2019;43,51968737
30/10/2019;Enveloppe basse 2014 - 2019;51,3367991
31/10/2019;Enveloppe basse 2014 - 2019;53,54233352
01/11/2019;Enveloppe basse 2014 - 2019;44,8646599
02/11/2019;Enveloppe basse 2014 - 2019;52,5428164
03/11/2019;Enveloppe basse 2014 - 2019;51,1508519
04/11/2019;Enveloppe basse 2014 - 2019;46,70640733
05/11/2019;Enveloppe basse 2014 - 2019;43,92854013
06/11/2019;Enveloppe basse 2014 - 2019;53,2214256
07/11/2019;Enveloppe basse 2014 - 2019;56,0654374
08/11/2019;Enveloppe basse 2014 - 2019;55,74858581
09/11/2019;Enveloppe basse 2014 - 2019;54,95739681
10/11/2019;Enveloppe basse 2014 - 2019;53,41447581
11/11/2019;Enveloppe basse 2014 - 2019;48,73471415
12/11/2019;Enveloppe basse 2014 - 2019;44,08255558
13/11/2019;Enveloppe basse 2014 - 2019;51,39019771
14/11/2019;Enveloppe basse 2014 - 2019;53,53064802
15/11/2019;Enveloppe basse 2014 - 2019;58,28586465
16/11/2019;Enveloppe basse 2014 - 2019;55,09963748
17/11/2019;Enveloppe basse 2014 - 2019;56,02475056
18/11/2019;Enveloppe basse 2014 - 2019;52,03754306
19/11/2019;Enveloppe basse 2014 - 2019;48,65136504
20/11/2019;Enveloppe basse 2014 - 2019;56,29447179
21/11/2019;Enveloppe basse 2014 - 2019;57,05159125
22/11/2019;Enveloppe basse 2014 - 2019;55,78216327
23/11/2019;Enveloppe basse 2014 - 2019;56,20774821
24/11/2019;Enveloppe basse 2014 - 2019;56,749562
25/11/2019;Enveloppe basse 2014 - 2019;54,07024571
26/11/2019;Enveloppe basse 2014 - 2019;50,26860335
27/11/2019;Enveloppe basse 2014 - 2019;58,71062113
28/11/2019;Enveloppe basse 2014 - 2019;60,9635414
29/11/2019;Enveloppe basse 2014 - 2019;60,74398485
30/11/2019;Enveloppe basse 2014 - 2019;60,76125713
01/12/2019;Enveloppe basse 2014 - 2019;57,62708333
02/12/2019;Enveloppe basse 2014 - 2019;53,21875
03/12/2019;Enveloppe basse 2014 - 2019;53,13333333
04/12/2019;Enveloppe basse 2014 - 2019;57,50625
05/12/2019;Enveloppe basse 2014 - 2019;59,42708333
06/12/2019;Enveloppe basse 2014 - 2019;61,17083333
07/12/2019;Enveloppe basse 2014 - 2019;59,75833333
08/12/2019;Enveloppe basse 2014 - 2019;59,68958333
09/12/2019;Enveloppe basse 2014 - 2019;56,87291667
10/12/2019;Enveloppe basse 2014 - 2019;54,41666667
11/12/2019;Enveloppe basse 2014 - 2019;60,76458333
12/12/2019;Enveloppe basse 2014 - 2019;62,86666667
13/12/2019;Enveloppe basse 2014 - 2019;64,11458333
14/12/2019;Enveloppe basse 2014 - 2019;68,30625
15/12/2019;Enveloppe basse 2014 - 2019;67,04375
16/12/2019;Enveloppe basse 2014 - 2019;59,27291667
17/12/2019;Enveloppe basse 2014 - 2019;55,64166667
18/12/2019;Enveloppe basse 2014 - 2019;62,07708333
19/12/2019;Enveloppe basse 2014 - 2019;60,4625
20/12/2019;Enveloppe basse 2014 - 2019;60,93958333
21/12/2019;Enveloppe basse 2014 - 2019;57,82211806
22/12/2019;Enveloppe basse 2014 - 2019;54,84440252
23/12/2019;Enveloppe basse 2014 - 2019;57,98013231
24/12/2019;Enveloppe basse 2014 - 2019;50,9367984
25/12/2019;Enveloppe basse 2014 - 2019;48,50544135
